sensor-id,humidity
TX,11
ND,23
GA,45
SC,41
WA,71
NV,07
KS,56
AL,87
NV,85
MD,06
WY,75
DE,11
WY,23
MI,59
IA,46
NM,25
WV,95
NC,02
NC,45
FL,97
KY,31
DC,60
MA,36
TX,98
WI,NaN
MA,48
ND,22
NY,01
ME,63
NC,39
CO,82
NM,40
AK,67
VT,48
MT,79
KY,00
OK,71
UT,11
LA,51
WV,22
IA,43
KY,69
OH,35
UT,52
AL,43
SD,45
CA,80
MD,34
LA,57
HI,53
NJ,22
IN,04
MT,24
DC,06
AR,40
MA,94
NC,23
OK,26
NE,36
MI,93
MT,37
TN,25
TN,49
PA,55
WY,87
VA,14
LA,05
SD,15
MN,03
AK,49
AK,55
CO,64
TX,78
SD,28
SD,51
KY,53
MT,86
DE,68
MO,01
TN,74
IL,04
NV,03
NC,25
MI,76
VA,12
TN,50
CT,32
HI,53
PA,59
OK,42
GA,55
UT,58
IL,48
MN,77
DE,18
CA,44
WA,25
SC,97
OR,95
LA,70
AZ,75
HI,35
MD,16
CT,76
WA,59
DC,36
MO,96
MO,31
WI,NaN
ND,96
VT,51
AL,72
NC,15
WA,11
ID,98
KY,52
MT,37
OK,78
WA,12
OR,21
NE,34
OH,25
AZ,93
ID,61
VT,23
DC,60
OH,08
AL,96
NV,91
NC,33
MN,21
ND,45
DE,27
CO,73
MA,60
PA,98
MD,25
TX,99
MA,71
MN,49
NV,76
IL,15
LA,33
NY,69
MT,32
IA,38
MN,71
OK,79
WA,41
AK,61
NE,18
SD,42
ND,54
RI,28
ME,45
ID,15
MI,44
WY,83
SC,63
NJ,41
SC,76
TN,07
HI,52
IA,51
GA,91
LA,72
OK,37
TN,93
WV,51
LA,24
PA,83
IA,99
NM,96
WV,47
CA,25
WA,31
NJ,77
NV,00
OH,22
SC,58
TN,48
FL,58
GA,75
RI,35
LA,88
TN,83
MI,34
VA,41
DE,62
MI,07
MI,97
NE,52
CO,02
AR,62
OK,72
NE,63
OR,19
ND,47
MA,64
HI,24
SC,06
AR,92
WY,58
CA,87
MN,51
DC,61
ND,11
OK,88
AZ,74
WV,86
MS,13
IA,95
MT,47
TX,00
MO,55
VT,58
NC,89
NC,93
ID,87
AK,62
DC,98
ME,91
OR,69
AL,89
CO,18
VT,49
ID,94
GA,54
AL,28
CT,82
NV,53
CO,53
MS,95
IL,04
PA,50
OR,75
MN,57
CO,37
SD,04
MO,36
WI,NaN
IN,13
WI,NaN
IN,76
ME,04
RI,71
VT,56
OH,64
NV,41
NJ,10
NH,65
ME,51
RI,13
NE,70
GA,95
AL,70
AZ,11
NY,32
UT,20
IN,65
AK,15
WA,35
AK,49
SC,80
OK,76
WY,44
NE,80
NV,62
TX,75
ND,50
GA,79
WA,32
NY,48
SD,69
VT,76
MA,67
AZ,52
PA,67
MS,44
NE,30
OR,41
IN,30
IN,75
NM,12
WA,26
OR,27
AK,18
AK,33
ID,03
MA,10
KS,72
AK,47
OH,15
NY,42
ME,18
MO,11
WA,39
PA,40
TN,03
AL,88
OK,58
NY,90
SC,03
NJ,17
MN,11
ND,24
OH,28
FL,42
VT,25
NJ,65
NC,46
NM,33
IA,54
PA,15
ID,45
OK,28
OK,77
MN,74
NJ,45
IA,47
ND,59
ME,32
NJ,63
IA,56
MA,17
MA,72
WI,NaN
AL,51
CT,28
NV,12
MO,12
MD,58
MI,48
VA,06
NH,72
KS,33
OK,21
CT,24
CT,25
MS,80
MD,95
OH,34
IL,37
DE,99999
MA,86
CT,06
WV,71
MO,26
ID,94
KY,99
MO,81
LA,29
LA,48
KS,61
WV,94
NJ,37
VT,88
NY,31
GA,53
NM,47
ID,28
WA,18
MI,30
NY,51
GA,74
OK,50
OH,92
MO,18
MO,47
WA,60
NV,19
NE,89
NV,71
NH,30
CA,53
CO,45
LA,40
MS,07
OK,75
MI,84
KS,11
CT,34
NE,22
NM,67
AZ,28
AZ,80
MA,64
GA,09
NJ,79
RI,35
MT,61
MA,63
VA,07
SC,47
HI,48
ID,43
OR,23
OR,53
NE,62
CO,44
NY,13
DC,92
LA,30
CA,75
OH,71
OK,58
MT,49
AZ,11
IA,87
IL,95
MD,09
WY,95
NH,60
DC,57
TX,12
VT,43
AK,70
NJ,56
NC,03
OH,87
MD,08
NC,55
DC,82
UT,22
VT,48
SC,48
WY,77
MO,44
NH,98
AR,69
MA,91
VT,50
WA,97
NJ,05
NJ,86
HI,38
AK,90
WV,22
WY,41
NY,18
NC,52
NV,96
NE,45
NE,03
NH,20
OR,08
MA,85
MS,88
KY,63
UT,30
WV,79
OK,76
DC,37
NC,79
RI,00
NJ,17
AR,54
MA,97
LA,30
DE,35
SC,00
MT,47
CO,15
ME,36
FL,76
CO,46
OK,87
NM,53
DE,31
VA,12
WV,59
HI,05
WI,NaN
TN,07
SD,67
LA,23
DC,21
VT,11
WI,NaN
AK,09
VA,36
HI,58
MD,54
MN,22
NV,91
AK,00
NJ,85
SC,26
OH,01
MO,29
AR,09
TX,31
RI,53
DC,04
OK,53
VA,54
NM,29
MA,69
ND,52
KS,13
WV,72
WY,19
MD,06
CO,29
NY,64
UT,19
NV,54
OK,78
OH,55
RI,58
WY,40
VA,65
DC,04
GA,32
IN,06
MA,95
LA,31
GA,70
NH,54
IN,78
ND,19
DE,03
CO,36
NC,47
SC,62
KS,02
FL,30
VA,87
MA,15
IA,04
IN,27
LA,18
NJ,35
NY,15
NM,35
FL,50
SD,28
IN,24
NH,71
DE,45
WV,96
DC,20
MI,82
PA,47
GA,46
SC,59
IL,31
AK,85
ME,98
ND,00
MI,96
VA,31
CO,51
DE,81
NM,43
NJ,02
DE,43
AL,36
MO,76
MO,40
MI,59
TX,11
DC,14
IA,43
CT,09
WY,47
KS,34
UT,31
SC,97
NH,14
ID,70
AZ,69
MD,76
OK,43
ME,32
MN,83
DC,03
SC,18
NV,04
GA,20
SD,07
WY,82
OR,10
OH,96
LA,62
AR,36
CO,93
KY,52
TN,14
ID,64
CT,32
VT,04
WV,50
MT,49
IA,95
LA,49
RI,66
MN,15
KY,92
NM,79
NJ,32
NE,44
IL,56
HI,01
MO,26
VT,22
TX,96
SD,51
MD,52
MD,58
NM,52
FL,63
KS,04
TN,03
AK,96
FL,11
OH,23
HI,04
LA,20
ND,24
GA,62
WI,NaN
FL,08
WY,05
KS,21
NY,30
WV,79
TX,15
MD,30
WV,35
ND,25
SC,45
KY,62
WV,76
ID,20
DC,06
PA,87
MI,92
HI,43
NY,79
MD,10
MA,49
AK,03
MA,60
SC,89
TN,53
MD,88
SD,17
MO,19
CO,77
NM,62
WV,36
IA,94
NE,46
ND,26
DE,42
WY,89
OK,13
NE,84
NM,91
NM,07
MO,99
NY,05
AR,31
CO,33
OK,56
NE,60
MA,21
AR,86
WI,NaN
ID,92
KY,56
NM,60
ME,78
AK,50
WI,NaN
NM,38
AL,94
NH,05
NC,52
AL,30
PA,68
SC,56
IA,89
WY,71
IL,56
OH,92
FL,11
VA,04
IA,19
DE,07
WA,87
LA,78
KS,61
LA,71
SD,60
KY,05
IN,06
NH,31
CT,94
OH,32
TX,61
TN,70
VA,82
DE,26
WA,18
GA,33
CO,11
AK,07
NV,85
VA,76
SC,80
OR,88
MI,78
NH,67
NC,98
MD,03
NE,56
FL,35
MS,48
GA,75
VT,26
WI,NaN
WY,72
IA,73
TN,81
IL,47
CO,88
LA,51
UT,33
NJ,65
SC,09
NC,81
NJ,27
OH,79
SC,75
CT,35
MT,03
TX,52
HI,93
LA,38
RI,69
IL,40
CT,77
LA,09
IN,88
IA,32
UT,53
VA,46
ID,99
AZ,23
NJ,53
MO,24
TN,33
FL,38
ME,59
AL,81
MO,48
AR,61
ME,90
AK,74
OK,61
AK,32
NV,26
NC,36
CA,04
KS,39
ND,00
MN,54
VT,96
ND,32
DC,13
CO,08
UT,41
IL,08
NC,41
WV,57
RI,12
MI,47
WV,27
FL,76
NH,13
MT,77
OK,58
GA,18
OH,50
TN,44
DE,26
AZ,40
TX,95
LA,87
CT,00
IA,44
MS,37
WI,NaN
HI,79
NV,32
ID,06
MI,97
DC,65
NM,52
TN,86
IL,82
OH,74
MA,35
NH,09
GA,14
MN,32
AL,25
CO,31
MI,76
SD,03
RI,65
OK,61
VT,96
WI,NaN
MN,56
CT,79
OR,69
DC,15
WA,11
OK,00
DE,17
NC,96
VT,63
CA,88
AR,26
CA,28
NV,49
DC,73
NV,61
MI,57
UT,34
TN,95
DE,87
MD,97
WA,55
TX,57
VA,21
ND,21
WY,92
NH,71
AR,36
MT,34
WA,54
NC,97
CT,03
KY,75
AR,60
OK,43
MS,58
MT,17
MN,01
FL,25
MI,44
KY,92
LA,56
WI,NaN
TN,08
MA,85
MI,55
LA,60
OK,50
OR,90
MN,55
CT,61
VA,10
AZ,51
OK,91
CO,67
MO,83
OH,78
WI,NaN
MD,11
AR,44
IL,33
FL,94
AR,77
IA,17
RI,44
MA,47
MD,77
FL,13
PA,90
VA,87
CA,93
VT,10
CT,27
OH,06
AK,74
CO,67
IA,89
VA,85
NE,69
PA,80
WA,87
ND,63
VA,21
WI,NaN
TN,60
CT,74
MN,84
TN,16
TX,22
AK,03
KS,65
MD,17
SC,45
NJ,01
TX,14
MS,29
ID,67
MS,00
IA,43
MD,02
AZ,95
MA,12
AK,26
SD,64
WY,63
AL,44
ME,94
MT,63
ID,52
IA,53
CO,88
CT,82
MD,46
GA,31
TX,00
KS,40
OK,71
MS,95
VA,54
MN,80
NV,12
WI,NaN
MS,60
IL,24
OH,63
AL,00
CO,94
GA,61
SD,41
AL,18
HI,79
MA,96
NY,78
AZ,07
TX,65
NV,79
MO,88
AR,25
NM,62
UT,31
MI,58
RI,18
TX,68
ND,07
SD,66
WY,59
IL,15
UT,35
LA,39
CO,10
WY,86
OK,33
UT,27
ND,06
NV,49
ND,71
TX,07
NE,82
ND,30
AR,77
WY,98
CA,93
HI,26
ID,67
WA,63
MT,20
ID,53
MO,14
LA,53
OK,78
NY,44
NM,04
ME,64
WY,52
AZ,61
NV,41
MT,35
NY,14
MA,74
OR,90
CT,36
UT,99
MT,50
IN,23
PA,38
